Min,Max,Avg,Std,Generation
-7.248835606317628e+42,4.192015691614044e+41,-2.1413625862786015e+40,3.4689884808284814e+41,50
-1.2375233918343689e+47,1.081239358003286e+42,-2.5068415503275986e+44,5.52914409729218e+45,51
-3.3013485893495387e+43,2.549010090465027e+38,-7.266075699514895e+40,1.4813825631132786e+42,52
-2.5240345848334545e+46,9.358258798872618e+41,-5.124182719782545e+43,1.127746020850449e+45,53
-9.54268725664591e+46,6.059154098631395e+40,-2.8582693551650306e+44,4.581175321008644e+45,54
-2.89955318840092e+46,2.676837020760833e+41,-6.091553523962243e+43,1.2965496997268903e+45,55
-4.338345152610595e+45,7.482047613082172e+42,-8.992474366165257e+42,1.938889157068957e+44,56
-1.0171137698423603e+46,5.303066861832393e+36,-2.0342283840288339e+43,4.544120108984466e+44,57
-8.257361196826527e+43,1.3888566574420852e+41,-2.560024391735594e+41,3.921811031804609e+42,58
-1.0556529453096073e+43,1.2053491842737588e+41,-2.0989219033958776e+40,4.716697272509681e+41,59
-6.544305474730648e+44,1.13745759394197e+41,-2.502838058149973e+42,3.9201336052435834e+43,60
-3.224823812802649e+42,9.359331420623748e+42,6.765431293497331e+39,4.5510089237582995e+41,61
-3.555122532550244e+45,6.169720443575532e+36,-7.16137735745242e+42,1.5883264112585404e+44,62
-4.837755911164778e+45,2.802906505237499e+42,-1.0906178448159402e+43,2.1782455634315673e+44,63
-1.245973336274871e+46,2.3520187430510827e+41,-2.4955758299243434e+43,5.566575772687776e+44,64
-1.0932724910211413e+47,7.55489152672379e+40,-2.1883591512856003e+44,4.8843650287979896e+45,65
-1.033908267016035e+45,1.256352954539677e+43,-2.045649355586036e+42,4.619595038138072e+43,66
-1.031168184123086e+44,9.385473985710312e+39,-3.1812628902988955e+41,4.963131774921594e+42,67
-1.2195986035082716e+45,5.077657602024808e+41,-2.4683475246124943e+42,5.448840006363669e+43,68
-1.1512272511412467e+46,9.07214750255819e+40,-2.3024662686961534e+43,5.1432937084645575e+44,69
-7.812337197278934e+42,1.6884236262003082e+41,-1.626071179421846e+40,3.493779550722805e+41,70
-3.5481002433068753e+43,5.332175087678247e+41,-1.34817063264286e+41,2.0858265868053528e+42,71
-3.4494579110980746e+46,5.590654995574902e+41,-7.673671994774602e+43,1.5504388066110745e+45,72
-3.6331681143092906e+45,2.5146745526206497e+41,-1.2070770172837447e+43,1.7752490238522873e+44,73
-2.7627573812354603e+46,3.9523635021795894e+42,-5.525094219767755e+43,1.234306703453417e+45,74
-6.89238982710873e+45,3.9564458106705704e+43,-1.718743608319439e+43,3.1548849856221647e+44,75
-1.883708835959973e+45,5.694734260366289e+42,-6.256183009878058e+42,1.0094977778107225e+44,76
-5.866974062132008e+46,2.8219326096865654e+42,-1.4528641207663523e+44,2.657481676024341e+45,77
-3.693153435365168e+43,8.462019762255663e+42,-8.87930415477835e+40,1.7450710745220814e+42,78
-1.681999595883709e+42,7.86686612879741e+41,-3.033953171753928e+39,8.749336664411573e+40,79
-2.6961963809370792e+45,2.9175155394726452e+41,-5.863159080301945e+42,1.2088933434768314e+44,80
-1.4218325067943105e+46,3.687342737486034e+35,-3.882877475807334e+43,6.7447468542224446e+44,81
-2.65828915901081e+46,3.912498809100389e+39,-6.516395080678285e+43,1.2044762630281436e+45,82
-1.3803584708518058e+46,3.672748120563481e+40,-4.0673511862327496e+43,6.812881043794037e+44,83
-1.0447517433083435e+45,9.144847184205023e+35,-2.0895724740498864e+42,4.667596918391109e+43,84
-2.2460424717376397e+45,3.774984420298474e+41,-4.9961237670676405e+42,1.008724587626064e+44,85
-9.977018204839805e+44,1.0925903526691862e+38,-3.299475902287901e+42,5.31808037772975e+43,86
-1.724578656666262e+47,1.3943914165611928e+35,-3.571577772414511e+44,7.706103444647983e+45,87
-4.510864219223845e+41,2.121407203241949e+44,4.229897813911922e+41,9.477812088952433e+42,88
-1.741968053153095e+42,4.0119310511288525e+42,4.482734660666456e+38,2.130145183178466e+41,89
-3.0458157391603913e+43,8.556888618248081e+35,-8.393168095598296e+40,1.4499054884618812e+42,90
-4.1744047305103037e+46,1.4285294925433163e+44,-8.4325082207713135e+43,1.8651086785557515e+45,91
-1.5079066208260847e+46,4.570182139109367e+39,-3.0159100661103966e+43,6.736816045707514e+44,92
-1.4667888602278259e+47,9.731445910699533e+39,-2.9519484840812243e+44,6.553112358396618e+45,93
-5.514721719127098e+45,1.1697655284962664e+44,-1.079832321675256e+43,2.464448754165974e+44,94
-1.7853258365111167e+44,7.247911472739874e+39,-3.5924772211308715e+41,7.976283890918619e+42,95
-1.0893743548057932e+44,5.170515406986892e+42,-2.2709809572159694e+41,4.888694742065301e+42,96
-3.344154562300198e+45,2.9285320370430297e+42,-6.682990087008655e+42,1.4940580435237244e+44,97
-4.089577176763448e+46,7.222623109497365e+42,-8.221185993459894e+43,1.8270917352183677e+45,98
-2.4193898213704077e+44,3.980450152232054e+41,-6.874036133047111e+41,1.127415171615545e+43,99
-1.0530194513932275e+44,1.1947141727777812e+37,-2.1657757813507838e+41,4.7061497260986686e+42,100
-7.430919053850467e+44,2.1239236282198725e+38,-1.5168891397838296e+42,3.320454107472154e+43,101
-4.861430784543447e+45,9.915295221600505e+43,-1.2132956482801142e+43,2.2400959139836095e+44,102
-3.0169508831052433e+46,6.2424813595355926e+41,-6.033769208582236e+43,1.3478716147754775e+45,103
-5.259921866419014e+44,4.162231709643563e+38,-1.0529681364861952e+42,2.3499511754370866e+43,104
-9.178505879540434e+44,1.9569653040813587e+41,-2.8279202756602855e+42,4.622480601955846e+43,105
-1.8165871288209433e+44,9.025139745343436e+41,-3.617276027421726e+41,8.116068925506806e+42,106
-3.247735698045845e+44,3.279296459667878e+41,-9.763777795669194e+41,1.5298408870986303e+43,107
-1.3803632177838516e+46,5.82823216371252e+42,-3.5258623177616987e+43,6.39663108325352e+44,108
-2.347085910835761e+44,1.6782569647749903e+35,-5.8956097711707645e+41,1.0790461034167182e+43,109
-8.648660721152324e+46,7.159317020365294e+42,-1.7296140291469073e+44,3.863929465077082e+45,110
-8.674883697815108e+45,4.9261960151455486e+36,-1.8864284501381082e+43,3.883400598318505e+44,111
-1.517269544003341e+45,5.411613422035216e+39,-3.051409646158687e+42,6.778659968156265e+43,112
-1.0010489712109535e+43,1.8605230417854315e+43,1.6931815380462727e+40,9.447014330188907e+41,113
-7.074648226104583e+46,1.6088511786206672e+38,-1.41603576888714e+44,3.160709421800996e+45,114
-8.77241642074368e+46,7.754603945167676e+43,-1.756561294087123e+44,3.91921935914155e+45,115
-3.186382961040368e+45,1.068573702474072e+39,-6.734350231983424e+42,1.4256959037061891e+44,116
-2.126637315455166e+45,1.4019195031165156e+42,-4.350601095754759e+42,9.502206344613704e+43,117
-1.2056930508554003e+45,8.62184053071566e+38,-2.4120254856464046e+42,5.386625849007417e+43,118
-1.8116204450970666e+43,4.3932284088549255e+42,-4.628449393793221e+40,8.892764982140325e+41,119
-2.196349663050056e+47,9.485954670743703e+39,-6.071505894473908e+44,1.0497260319382823e+46,120
-4.2625046250020497e+43,2.751856205975591e+37,-8.541860204825104e+40,1.9043373793008134e+42,121
-2.549956735156008e+46,1.2448164193561332e+40,-5.142019714046909e+43,1.139234893275912e+45,122
-1.4856138300967676e+47,5.99202952971995e+37,-2.9739289472676928e+44,6.637210246718921e+45,123
-1.0647719040227456e+47,1.1777914521739345e+42,-3.4088956839743373e+44,5.5367432714804955e+45,124
-1.1484255849132174e+44,9.29369535049729e+39,-2.37725212325841e+41,5.1323907947790055e+42,125
-7.070699268669259e+46,3.64366224346216e+43,-2.4553952655718052e+44,3.717060459405192e+45,126
-5.4711915382773804e+44,1.1062159538085342e+39,-1.6372998712766267e+42,2.7150228374457984e+43,127
-6.515793041244617e+43,8.085878336590002e+42,-1.2723790065987135e+41,2.948105406210971e+42,128
-1.2075456606871637e+45,2.5231749880024593e+36,-4.1061658982739473e+42,6.553795441788171e+43,129
-1.0172410168480285e+46,2.275444515805396e+38,-2.936109522454371e+43,4.961310041649253e+44,130
-1.0374348743071733e+46,1.6283920753440658e+43,-2.0863236401130734e+43,4.634984670462215e+44,131
-4.993148665634213e+45,5.630711465517656e+40,-1.0012718580724082e+43,2.230765446686674e+44,132
-2.1633779141216736e+45,8.603388903242223e+41,-4.5415454529966013e+42,9.675776937714367e+43,133
-6.530995118934638e+45,9.477441562683695e+43,-1.3092635972854678e+43,2.918306363919342e+44,134
-4.12693226190192e+42,5.173253710199846e+36,-2.108796363560931e+40,2.738143067330667e+41,135
-1.106989079109163e+46,9.456974355041883e+43,-2.476846088237165e+43,4.9716859018138145e+44,136
-7.97583568624981e+39,3.566717371115376e+42,7.75816336979678e+39,1.5996304596999524e+41,137
-2.0333642500595846e+45,1.016215148137261e+41,-4.4571501800075145e+42,9.103635057638758e+43,138
-5.037733711400597e+44,3.014797220115516e+33,-1.0183839603227988e+42,2.250705175062815e+43,139
-6.863307054260991e+46,9.46290998819137e+43,-2.2843943857643026e+44,3.610008068058686e+45,140
-3.4666413811080613e+43,1.0056391396335342e+42,-1.2131131014379412e+41,1.9110547528929373e+42,141
-8.053423199824985e+44,1.7140917059907742e+40,-1.6266659617266447e+42,3.5980380882173497e+43,142
-3.954751797371488e+45,3.719678941819648e+43,-8.539866543918503e+42,1.7736612447700398e+44,143
-3.051641787421372e+45,4.376643260919188e+39,-6.10491633031623e+42,1.3633695935445307e+44,144
-1.5289279896230355e+41,1.3112318045119756e+40,-2.969245959206493e+38,6.865757061238995e+39,145
-4.437613070813522e+45,1.4048682231251604e+43,-9.928153933036901e+42,1.9962422906281305e+44,146
-2.0278581949700065e+46,2.104485893320935e+44,-4.37714694085507e+43,9.09487713701091e+44,147
-1.2202362008383053e+43,2.3349982239593305e+41,-2.397065056928866e+40,5.452799717481193e+41,148
-8.245820821862701e+45,4.780203794910094e+37,-2.1239985334921212e+43,3.826765136475789e+44,149
-9.941657356938275e+46,1.6978462171499522e+44,-2.0708829543391744e+44,4.4433127011794956e+45,150
-4.0013295563677996e+46,3.3811045410610138e+44,-8.977318580619364e+43,1.801224454835281e+45,151
-1.0162812292079535e+46,1.3900773387081924e+36,-2.8036633384819154e+43,4.8374278270194494e+44,152
-3.223754826041505e+44,5.798899324109242e+40,-7.572666611625832e+41,1.460133907652645e+43,153
-1.0113292046810403e+46,1.2478219019884142e+41,-2.1413517113473184e+43,4.5247010881277925e+44,154
-4.826338855785876e+44,2.042785139493587e+39,-2.239414758352684e+42,2.7160099001396475e+43,155
-2.118795202110372e+44,2.861884961015368e+37,-4.924715029956961e+41,9.55701851322185e+42,156
-1.810919363233507e+43,1.915126670171146e+42,-3.3462623914991067e+40,8.13855681824639e+41,157
-3.6086020287806633e+43,7.45014429281226e+43,3.095175259624101e+40,3.787784816825835e+42,158
-8.387506392219838e+45,4.836040601703814e+41,-3.1676761022349945e+43,4.695527360153538e+44,159
-1.5849378595765922e+44,1.7029289934949988e+44,-7.160539755554417e+40,1.0491403767905462e+43,160
-1.999629533229446e+45,5.185672726802176e+39,-4.774642937345445e+42,9.084414545375584e+43,161
-3.657225110444482e+44,8.708087481638807e+41,-7.29748716356037e+41,1.633936641472232e+43,162
-5.760943324743914e+45,1.2522385870880271e+41,-1.1806745047040614e+43,2.574429794611009e+44,163
-1.5055992139407107e+43,4.175535579941892e+39,-3.050206332768291e+40,6.72682634772327e+41,164
-9.146844228074663e+43,5.32110863181801e+39,-2.182031102880435e+41,4.1251857060073754e+42,165
-1.7290742894059568e+46,3.321116693815e+40,-3.4583357402352883e+43,7.724917947322123e+44,166
-8.208292752119924e+46,6.643394390123173e+39,-3.1986897201325252e+44,5.045308044532613e+45,167
-2.5256491901048003e+44,4.905469989641254e+39,-7.789755383065716e+41,1.229824909421386e+43,168
-7.607327930196946e+43,4.467415943180791e+40,-2.0813581588769907e+41,3.5077243506238393e+42,169
-2.3086853849263858e+44,2.1516174967006737e+36,-6.3599291005222876e+41,1.100715044636332e+43,170
-9.744129911639107e+45,2.6022841425354143e+40,-2.1443977428656295e+43,4.374077287080703e+44,171
-7.875322271594169e+46,1.5980632055779543e+39,-1.6496599824529877e+44,3.5201220930862234e+45,172
-1.1757363101909162e+45,4.873218793010456e+37,-2.780082843939899e+42,5.312986504743495e+43,173
-2.194147363345157e+44,3.3584880347262835e+35,-4.4201459496407516e+41,9.802696551622542e+42,174
-2.6307884435959e+46,2.1773060737776302e+42,-5.856530450330446e+43,1.1814811802222325e+45,175
-6.525295382851949e+46,3.80433309401688e+42,-1.3089609772926209e+44,2.9152717577066644e+45,176
-1.5623141436611575e+44,3.515245237939903e+44,1.0711692048962693e+41,1.7690005232102316e+43,177
-5.6173289043481875e+44,2.1644615436312466e+44,-9.728588068580753e+41,2.7346256715763667e+43,178
-9.05533970850254e+45,1.121792942538598e+39,-1.8205241918630024e+43,4.045604202208691e+44,179
-1.2780482741453812e+45,4.4407413560709284e+42,-2.5548500182854657e+42,5.709936520239647e+43,180
-4.2379977109174863e+43,8.551980555183836e+41,-1.7037716656103576e+41,2.6580850710475993e+42,181
-4.2997659306605966e+45,3.299033216153844e+42,-1.4273145709791292e+43,2.2257585438526856e+44,182
-6.993000350297349e+46,5.961781844020375e+40,-1.4704986783508038e+44,3.127997138874871e+45,183
-7.439082012347937e+42,1.4060633239006923e+40,-2.418664909271005e+40,3.792251926323152e+41,184
-6.499320053721986e+43,2.053944698019919e+43,-7.301259845450884e+40,3.2945879334981506e+42,185
-6.886836777947814e+45,1.684509826803986e+40,-1.6430901539286473e+43,3.1313246540946384e+44,186
-3.4473586512122213e+46,2.237756543062367e+39,-9.966456750209942e+43,1.613394193809028e+45,187
-4.2936680686524054e+45,3.870416248796482e+41,-1.5749573553223408e+43,2.2257421469040695e+44,188
-5.128248373172539e+45,5.2054242091659524e+41,-1.5814532955597486e+43,2.60332356512623e+44,189
-3.37921341103589e+44,1.6580038008149304e+43,-8.438673339751305e+41,1.5753853162721196e+43,190
-2.8085149005699925e+41,3.673160837764346e+34,-1.0425664459222166e+39,1.5161932697630792e+40,191
-1.1918370409196149e+45,5.609064718196372e+43,-4.1055877633691424e+42,6.354615111076189e+43,192
-2.3371333346351863e+45,1.1379884059421618e+43,-6.44111241473303e+42,1.1005545310735554e+44,193
-7.306317034117178e+46,1.276544909208115e+43,-1.4646943669447166e+44,3.264209995623358e+45,194
-2.019869072327688e+44,2.484648321510627e+40,-6.1727395144386985e+41,1.0155716617177435e+43,195
-3.5431415135063746e+45,1.8999289836192246e+39,-7.299188721742626e+42,1.5835653425448197e+44,196
-1.2769850809751158e+44,6.028730554920877e+41,-3.2533627848158805e+41,5.916931020806816e+42,197
-1.3604862657024368e+45,8.565344754579029e+39,-4.512609355830429e+42,7.270163623514966e+43,198
-1.0922467332470205e+46,7.554656576138791e+37,-4.053593665029207e+43,6.4003713249158345e+44,199
-8.477384934782332e+40,1.5593936433627138e+41,1.394399855301354e+38,7.936798437066113e+39,200
-5.464075427685737e+46,1.02361706668122e+41,-1.1437486905496632e+44,2.4435659846505726e+45,201
-8.236489436095022e+44,3.0198818318721836e+44,-1.0474485774983515e+42,3.9222579533358836e+43,202
-4.2891192766617983e+46,1.2506652588712069e+42,-9.617567980430145e+43,1.9295669367468745e+45,203
-2.337594363881702e+44,1.8292890524874836e+43,-5.3606968906974535e+41,1.059181658569085e+43,204
-2.95095611521003e+45,3.9951926727006574e+40,-1.736826439605296e+43,2.0042828252693018e+44,205
-8.720885824923974e+44,1.753601208325335e+38,-1.8515520591582017e+42,3.9019455770571425e+43,206
